,feature,class
20,"[-88.04941    151.27895    -74.60701     73.17665    -57.279346
  39.080425   -17.419956    17.482365    -7.8572035    4.1133704
  14.040311    -9.481825    12.781065   -14.869781    13.325786
  -7.902873     9.398235     2.5738633    2.2973819    5.581247
  -2.1511574    6.7308426   -6.8467784    5.401966    -3.5111318
   2.8196743   -2.0172915    0.2533045    1.3750902   -3.217857
  -0.16671422  -2.4093542    2.5296893   -2.7462795    1.5055923
  -2.444116    -1.5420159   -4.4257393   -2.230277    -1.5008864 ]",WeightedbladesNoise
21,"[-8.7562721e+01  1.5247748e+02 -8.1581123e+01  7.8192032e+01
 -6.0807911e+01  3.8664524e+01 -2.0723839e+01  1.5618533e+01
 -1.1368761e+01  4.6974502e+00  1.3900579e+01 -8.8748407e+00
  1.3634874e+01 -1.6666382e+01  1.3226088e+01 -9.4637804e+00
  8.8126526e+00  8.7852013e-01  2.7230170e+00  4.2975316e+00
 -3.7829871e+00  5.6916285e+00 -7.5718865e+00  5.1007543e+00
 -4.9966435e+00  3.7990205e+00 -2.9236028e+00 -6.6025265e-02
  1.4977200e+00 -4.9321556e+00 -9.1150892e-01 -1.8572026e+00
  2.4913850e+00 -2.6696980e+00  1.2495066e+00 -2.9919963e+00
 -8.6775130e-01 -4.0301781e+00 -1.9493924e+00 -1.7348130e+00]",WeightedbladesNoise
22,"[-9.3163467e+01  1.4901233e+02 -6.3398716e+01  6.8523766e+01
 -4.9178902e+01  3.7374744e+01 -1.1580025e+01  1.5269921e+01
 -1.5852013e-01  6.5339627e+00  1.0960812e+01 -8.7690811e+00
  1.5057735e+01 -1.1285471e+01  1.1828222e+01 -5.4801750e+00
  8.5861664e+00  2.5603216e+00  2.3282268e+00  7.2176208e+00
 -3.5282230e+00  4.9570580e+00 -5.1862745e+00  5.9911065e+00
 -3.1308460e+00  1.7858902e+00 -1.3970698e+00 -4.6815287e-02
  1.2625729e+00 -3.8920381e+00  2.9479274e-01 -3.5934529e+00
  1.7389413e+00 -1.9855524e+00  1.9480890e+00 -2.0923405e+00
 -2.1571529e+00 -4.1908183e+00 -4.3391309e+00 -1.6695777e+00]",WeightedbladesNoise
23,"[-88.61814    152.58809    -70.44474     73.40196    -51.014736
  39.075764   -12.26555     20.571796    -4.936816     0.5682308
  13.553798    -5.6132674   15.245175   -10.056259    14.289552
  -5.3228307    8.57037      1.7656312    3.541943     5.4087076
  -1.8437027    7.585529    -4.685125     5.1076093   -4.828071
   2.724048    -1.8965602   -0.547916     2.5415688   -1.1643093
  -0.18036707  -2.8291137    2.5920908   -1.5059413    1.8397397
  -3.2924435   -0.6816612   -3.3405583   -3.1777544   -2.3787348 ]",WeightedbladesNoise
24,"[-82.13003    152.17995    -71.73946     70.76957    -51.679146
  38.483273    -9.666128    17.537329    -7.867381     3.8657088
  12.64082     -5.9824924   14.587915   -11.968796    17.00603
  -5.338543     7.542319    -0.5860968    2.8877969    7.628051
  -2.786899     7.506431    -5.661514     5.6730328   -4.541617
   1.1126361   -2.3644845    0.89093775   3.3297377   -2.6898828
  -0.3304899   -4.230608     3.2635098   -0.8003159    1.9231483
  -2.430051    -1.3330122   -2.8051047   -3.161616    -2.8098283 ]",WeightedbladesNoise
25,"[-7.8935883e+01  1.5666776e+02 -7.2884689e+01  6.7684250e+01
 -4.9495689e+01  3.9551704e+01 -7.1943955e+00  1.9223639e+01
 -2.3511183e+00  6.6362057e+00  1.0769209e+01 -1.1073314e+01
  1.4614528e+01 -8.7797880e+00  1.8144012e+01 -3.3731866e+00
  7.0817499e+00 -1.0973094e+00  4.5485318e-01  8.5815639e+00
  8.3912596e-02  7.3507867e+00 -5.9775143e+00  7.3214655e+00
 -4.1414189e+00  5.4516059e-01 -1.0131586e+00 -4.8837519e-01
  3.4565122e+00 -2.5416405e+00 -6.8096381e-01 -4.1500382e+00
  2.6987207e+00 -2.4649498e-01  1.4386946e+00 -3.5569191e+00
 -3.2214017e+00 -4.1015081e+00 -3.3529098e+00 -2.4993849e+00]",WeightedbladesNoise
26,"[-93.63271    150.92252    -68.70305     64.61194    -47.109077
  42.825775    -7.4153504   17.4081       1.4356025    4.6421742
  11.127634    -7.976351    14.873472    -7.359       16.139288
  -1.8258932    8.373658    -0.6849702    2.1866362   10.42174
   1.1136931    6.598376    -6.148474     5.3945184   -4.8430896
   1.0336086    0.28359833   1.2981329    3.644724    -2.8304098
  -0.73692966  -3.1826138    2.3862875   -1.8315175    1.2375071
  -1.5447974   -1.8319966   -4.288201    -3.1572995   -2.1137214 ]",WeightedbladesNoise
27,"[-8.72512283e+01  1.52157196e+02 -7.46489029e+01  6.46628418e+01
 -5.01258659e+01  4.28518906e+01 -1.19745321e+01  1.80942650e+01
  9.48254287e-01  6.25987959e+00  1.04570265e+01 -7.30373573e+00
  1.54253588e+01 -1.10431519e+01  1.50357141e+01 -3.30736661e+00
  9.55423164e+00 -7.38952339e-01  3.60343075e+00  1.03283968e+01
  5.32485962e-01  6.97319794e+00 -6.03848839e+00  5.61864376e+00
 -5.95920610e+00  3.35457182e+00  1.13294530e+00  7.78855503e-01
  2.62879658e+00 -2.94506288e+00  9.42327976e-02 -2.88616872e+00
  2.79198265e+00 -1.49282146e+00  2.32510304e+00 -2.07022190e+00
 -2.07179832e+00 -4.19426155e+00 -3.04324102e+00 -2.27151489e+00]",WeightedbladesNoise
28,"[-1.2251585e+02  1.5103270e+02 -5.3739326e+01  6.2591511e+01
 -3.6895554e+01  3.5846310e+01  3.7173951e-01  2.1670347e+01
  5.4620323e+00  6.2969966e+00  1.1726539e+01 -1.0688231e+01
  1.3035356e+01 -4.9896793e+00  1.3960310e+01 -8.0697668e-01
  6.2007771e+00  7.9860039e-02 -6.6573751e-01  8.3424702e+00
 -1.0544202e+00  5.8236389e+00 -5.3929167e+00  3.4100068e+00
 -3.9675062e+00  2.2238177e-01  5.3172197e-02 -1.7999130e+00
  2.7671030e+00 -3.7355661e+00 -6.8177992e-01 -3.6535249e+00
  8.9886057e-01 -1.0168214e+00 -3.0148050e-01 -2.6786990e+00
 -3.5677629e+00 -2.8051667e+00 -2.8205323e+00 -1.8269899e+00]",WeightedbladesNoise
29,"[-9.9601280e+01  1.4565384e+02 -5.3724525e+01  5.0757198e+01
 -3.1505983e+01  2.8978987e+01  1.5618072e+00  1.5316349e+01
  7.4734988e+00  5.2271504e+00  1.4553456e+01 -9.2136126e+00
  1.1086177e+01 -3.4001615e+00  9.2841043e+00  1.4401720e+00
  3.1301851e+00  1.5529860e+00 -2.2855702e-01  7.8860106e+00
 -1.8990791e+00  4.6652446e+00 -2.7871766e+00  2.1929173e+00
 -2.6083970e+00 -3.1983364e-02  1.8867905e+00 -4.0182290e+00
  9.2263418e-01 -2.7503088e+00  7.9681075e-01 -1.6387734e+00
  4.6166131e-01  1.5783402e-01 -7.6078874e-01 -1.2518435e+00
 -3.7900631e+00 -2.6960378e+00 -4.1695881e+00 -2.8906128e+00]",WeightedbladesNoise
