,feature,class
20,"[-1.23497635e+02  1.40214218e+02 -3.07371101e+01  8.52592697e+01
 -2.77869530e+01  4.83610954e+01 -6.35136890e+00  1.52791510e+01
  1.77218884e-01 -1.40924990e+00  1.23197575e+01 -1.56229286e+01
  6.29625225e+00 -8.39821243e+00  6.27115679e+00 -1.21872263e+01
  1.25538278e+00 -1.94620216e+00 -2.92721820e+00  6.81769657e+00
 -8.31211948e+00 -2.72973087e-02 -8.61480999e+00  2.51185209e-01
 -3.04519391e+00  6.77620530e-01 -2.87996978e-01 -5.94475651e+00
 -1.98718345e+00 -3.55540991e+00 -7.32374638e-02 -2.24667287e+00
 -3.91262555e+00 -5.37567663e+00  1.16018820e+00 -3.82636595e+00
 -1.32396245e+00 -3.16596180e-01 -2.58236265e+00 -1.23188865e+00]",FaultyFan
21,"[-132.96533     150.60901     -13.614588     79.30199     -21.981298
   40.502453     -4.0497355     7.936561     -0.8663183    -3.2883391
   11.204423    -15.154662      6.299738     -8.077478      3.370926
  -10.166067     -0.31318483    1.4151459    -6.780344      5.112895
   -7.7368736     0.21704488   -7.611572     -1.6736575    -1.7349879
   -2.2355738     1.0238698    -6.9113803    -1.0902263    -2.9752035
   -1.9510705    -1.229451     -3.7150638    -4.416094      1.2412915
   -2.5404673    -3.3729951    -0.15674818   -2.8358986    -1.6135768 ]",FaultyFan
22,"[-1.5896886e+02  1.3583531e+02 -1.9669687e+01  7.2076935e+01
 -1.8941967e+01  4.6950981e+01  4.0328187e-01  1.6511930e+01
  6.7978425e+00 -3.8751845e+00  1.0434145e+01 -1.1503504e+01
  1.1979017e+01 -7.3304114e+00  2.8083773e+00 -6.0251884e+00
  4.4916198e-02  4.8198175e+00 -1.8541553e+00  5.2568889e+00
 -4.8716178e+00  1.9312248e+00 -5.4442511e+00  2.5100400e+00
 -1.3353124e+00 -2.8079507e+00  1.0123456e+00 -4.2763920e+00
  1.1287053e+00 -3.9130313e+00  1.2512554e-01 -1.5535485e+00
 -2.4565718e+00 -1.8428075e+00 -3.1040087e+00 -1.1799748e+00
 -9.4254082e-01 -1.5606403e+00 -2.0944614e+00 -7.9037333e-01]",FaultyFan
23,"[-9.4559753e+01  9.7746292e+01 -5.6981949e+01  8.3726593e+01
 -4.1088993e+01  5.1956421e+01 -6.8258324e+00  1.7654295e+01
 -6.0407176e+00  3.1848400e+00  1.4075831e+01 -1.9631702e+01
  1.2790935e+01 -9.8053522e+00  9.1355133e+00 -1.0362422e+01
  2.9945648e+00  3.0123227e+00  5.1657930e-02  6.5200958e+00
 -5.9525623e+00  3.8893571e+00 -4.6946259e+00  9.6576917e-01
 -4.7331057e+00  3.7164235e+00 -2.2011132e+00 -1.1687111e+00
  2.0053670e+00 -6.0723433e+00  3.3768997e-01 -3.0300944e+00
 -1.8021330e+00 -5.2981019e+00  9.8103255e-02 -1.6525958e+00
  5.1807630e-01  9.3174589e-01  3.8581099e-02  5.9275931e-01]",FaultyFan
24,"[-1.4016336e+02  1.3262778e+02 -1.6359564e+01  9.2783493e+01
 -2.5671949e+01  4.3456589e+01 -6.8277806e-01  1.0957635e+01
 -3.1624227e+00 -4.1631141e+00  7.8365989e+00 -1.6690718e+01
  1.2664674e+01 -3.6937299e+00  4.4500041e+00 -1.2009228e+01
 -1.6596035e+00  2.1584799e+00 -2.8662703e+00  4.0750017e+00
 -6.4216404e+00  7.4479693e-01 -7.1559696e+00  1.0228451e+00
 -4.3908706e+00 -1.4856458e+00  5.9600496e-01 -4.6719084e+00
  5.6166464e-01 -4.1305761e+00 -1.0584075e+00 -1.6771554e+00
 -1.8793612e+00 -3.7749016e+00 -1.7384912e+00 -2.9527490e+00
  1.7602244e-01 -2.4385600e-01 -2.8542724e+00  9.2306465e-02]",FaultyFan
25,"[-126.919426    122.84187     -26.676285     93.44456     -22.96405
   47.09643      -3.4862773    12.564973     -1.6413363     2.557108
   10.964228    -18.939554      8.849278     -7.4888377     6.3041735
   -9.670673     -1.9544303    -2.2093835     1.4830266     5.2260194
   -8.811118      3.6011093    -9.748843     -0.2107017    -2.6032178
   -1.599179     -0.5344629    -4.079341     -0.80017346   -1.7792434
    1.9602567    -4.524164     -1.5742311    -4.3768816    -1.7280204
   -1.140387     -1.1793491    -0.26772955   -1.2432355    -0.4254473 ]",FaultyFan
26,"[-1.06032265e+02  1.24389313e+02 -3.43205719e+01  9.20189514e+01
 -3.60039711e+01  5.32860374e+01 -7.91098022e+00  1.51227016e+01
 -1.13539391e+01 -3.49854732e+00  1.07650070e+01 -1.59282303e+01
  1.39889441e+01 -1.42093620e+01  7.11308622e+00 -1.03615608e+01
  3.07397455e-01 -1.13945234e+00 -1.26678419e+00  7.63019323e+00
 -5.20364380e+00  1.58043516e+00 -1.02482738e+01  5.08712232e-01
 -2.69979334e+00  1.91458225e+00 -3.36295009e+00 -3.82566166e+00
  2.15866327e+00 -1.59371150e+00  1.47255719e+00 -3.38941765e+00
 -1.61949015e+00 -5.64340019e+00 -4.42759097e-01 -1.69256616e+00
  4.26910400e-01  2.03218944e-02 -2.45467186e+00  4.89711240e-02]",FaultyFan
27,"[-111.05632    119.32828    -99.315285    97.4616     -65.52486
   63.455032   -37.230637    17.97872     -6.976555     2.5716598
   -0.7137157  -15.31038     14.483739   -16.987425    14.479374
  -16.199514    11.831125    -3.9189935    6.493619     3.828647
   -2.480216     4.8449597   -7.4299173    5.121807   -10.810644
    3.225325    -3.85291      2.9576628   -1.6732925    1.4820886
    2.005528    -3.2440853   -1.4585621   -5.078341     1.298631
   -5.3212147    4.1295767   -3.9892056    1.8004678    0.6918986]",FaultyFan
28,"[-112.57624     120.141556    -98.47488      95.6007      -63.49323
   66.00684     -34.67004      17.97379      -7.672358     -2.9795158
    0.8539915   -12.516969     13.405144    -20.246473     13.009906
  -13.326539     10.69073      -4.9391775     5.756525      3.7584858
   -3.391978      6.0538425    -6.562893      3.7047281   -10.45357
    4.039476     -3.9159875     1.4518044    -0.93876094    0.7644487
    1.4313179    -3.7202451    -2.1553805    -5.812227      1.2060266
   -4.8564134     2.2178745    -3.2511964     1.3599001    -0.60154885]",FaultyFan
29,"[-109.81758    115.77497    -92.02106     97.64264    -64.116005
   61.12131    -35.658714    20.820192    -8.795677     1.3485775
    8.700325   -15.299391    12.411057   -16.912958    14.065166
  -13.906701    10.140093    -4.6970606    5.8569007    5.711703
   -4.26637      6.230628    -6.4150224    3.0885532   -8.782045
    3.2015479   -4.248227     1.3157506   -1.6570718    1.1456686
    1.1073856   -4.05146     -1.9876442   -6.770972     1.2033105
   -4.1514106    2.4730628   -2.4924934    1.8496084   -0.7620028]",FaultyFan
